estate,estate_eng,estate_chi,t_pop,pop_m,pop_f,sr,age_1,age_2,age_3,age_4,age_5,t_ma,ma_m,ma_f,born_hk,born_chi,born_else,ethn_chi,ethn_phi,ethn_ind,ethn_wh,ethn_oth,ms_nm_m,ms_ma_m,ms_wds_m,ms_nm_f,ms_m_f,ms_wds_f,ul_can,ul_put,ul_othchi,ul_eng,ul_oth,readchi_ablepctn,readeng_ablepctn,writechi_ablepctn,writeeng_ablepctn,edu_pri_be,edu_sec,edu_psec,pls_same,pls_diff_hk,pls_diff_kln,pls_diff_nt,s_diff_oth,t_wp,wp_ee,wp_er,wp_se,wp_fw,t_nwp,nwp_hm,nwp_st,nwp_re,nwp_care,nwp_oth,plw_same,plw_diff_hk,plw_diff_kln,plw_diff_nt,plw_diff_oth,plw_nofix,plw_hm,plw_out,mearn_xfw_sb_1,mearn_xfw_sb_2,mearn_xfw_sb_3,t_mmearn,mearn_xfdhfw_sb_1,mearn_xfdhfw_sb_2,mearn_xfdhfw_sb_3,t_mmearn_xfdh,wp_a,wp_b,wp_c,wp_d,wp_e,wp_f,wp_g,wp_h,wp_i,wp_j,wp_k,wp_l,wp_m,wp_n,wp_o,wp_p,wp_q,wp_r,wp_s,wp_t,whr_1,whr_2,whr_3,whr_4,whr_5,whr_6,dh,dhz_1,dhz_2,dhz_3,dhz_4,dhz_5,dhz_6,adhz,dhc_nc,dhc_re,dhc_oth,dhi_sb_1,dhi_sb_2,dhi_sb_3,dhi_sb_4,ma_hh,dhi_sb_e1,dhi_sb_e2,dhi_sb_e3,dhi_sb_e4,ma_econhh,dhm_loan,dhm_lr,dm_r,dmr_ir,fa_m,full_address,full_address_alt,latitude,longitude
10019,Choi Tak Estate,彩德邨,13588.0,6493.0,7095.0,915.0,1284.0,1704.0,2971.0,4978.0,2651.0,48.6,47.6,49.0,5703.0,7620.0,265,13391.0,7,57,-,133,1767.0,3578.0,468,1591.0,3408.0,1492.0,12062.0,87,1053,34,94,96.5,57.7,94.4,53.1,2541.0,7339.0,2424.0,1140,240,656,353,19,6156.0,5847.0,-,309.0,-,7432.0,728.0,2337.0,2524.0,394,1449.0,1181,1004,1561.0,361.0,190,1718.0,88.0,53,1268.0,3392.0,1496.0,14500.0,1204.0,3392.0,1496.0,14500.0,128,161,771.0,695.0,2074.0,603,372,1352.0,-,154,1100.0,903.0,451,996,80,154.0,986.0,893.0,406.0,33,505.0,689.0,1678.0,2194.0,738.0,352.0,5573.0,1511.0,1875.0,1030.0,722.0,307,128,2.4,3201.0,848.0,1524.0,1685.0,1553.0,1656.0,679,15400.0,409,1282,1645.0,679,23040.0,-,-,2060,14.7,22.0,"Choi Tak Estate, Hong Kong","彩德邨, Hong Kong",22.3302654,114.2136266
10020,Choi Wan (1) Estate,彩雲（１）邨,16756.0,8005.0,8751.0,915.0,1258.0,1432.0,4573.0,5129.0,4364.0,50.3,47.9,52.5,8793.0,7443.0,520,16083.0,10,154,36,473,2664.0,4160.0,510,2309.0,4045.0,1810.0,15238.0,114,715,16,339,94.4,54.1,90.8,50.4,4561.0,7592.0,3345.0,886,185,749,337,64,7263.0,6783.0,18,462.0,-,9493.0,932.0,1965.0,4173.0,468,1955.0,629,1033,2585.0,758.0,266,1756.0,171.0,65,1263.0,3853.0,2147.0,15000.0,1105.0,3853.0,2147.0,15000.0,202,400,1034.0,997.0,2057.0,768,485,1281.0,39,201,922.0,1147.0,674,914,208,313.0,1387.0,1029.0,433.0,35,569.0,751.0,1908.0,2653.0,856.0,526.0,5762.0,875.0,1461.0,1502.0,1456.0,240,228,2.9,3457.0,1392.0,913.0,1264.0,1336.0,1977.0,1185,21790.0,304,911,1955.0,1168,28040.0,-,-,2240,9.7,35.0,"Choi Wan (1) Estate, Hong Kong","彩雲（１）邨, Hong Kong",22.3370332,114.2048878
10021,Choi Wan (2) Estate,彩雲（２）邨,8485.0,3943.0,4542.0,868.0,803.0,549.0,2448.0,2549.0,2136.0,49.6,46.7,50.8,4489.0,3815.0,181,8365.0,26,40,-,54,1270.0,1948.0,445,1114.0,2010.0,895.0,7687.0,23,491,30,57,94.8,58.4,90.7,54.1,2018.0,4060.0,1604.0,441,85,502,188,9,3921.0,3637.0,20,264.0,-,4564.0,378.0,1105.0,1974.0,284,823.0,293,462,1523.0,380.0,294,855.0,110.0,4,529.0,2001.0,1391.0,16000.0,463.0,2001.0,1391.0,16000.0,161,134,703.0,486.0,1145.0,419,151,722.0,-,72,759.0,508.0,317,407,128,106.0,825.0,550.0,213.0,36,168.0,224.0,1185.0,1522.0,509.0,313.0,2855.0,329.0,713.0,798.0,809.0,154,52,3.0,1707.0,810.0,338.0,661.0,418.0,1078.0,698,25620.0,119,369,1078.0,698,29860.0,-,-,2000,8.3,33.0,"Choi Wan (2) Estate, Hong Kong","彩雲（２）邨, Hong Kong",22.3338459,114.2149199
10022,Choi Ying Estate,彩盈邨,9682.0,4785.0,4897.0,977.0,761.0,1518.0,2109.0,3526.0,1768.0,48.0,47.3,48.5,4395.0,5060.0,227,9510.0,20,21,-,131,1790.0,2223.0,364,1214.0,2288.0,1042.0,8591.0,139,725,36,27,96.8,60.4,95.7,56.0,1837.0,5053.0,2031.0,700,191,432,330,25,4443.0,4148.0,34,261.0,-,5239.0,580.0,1674.0,1703.0,201,1081.0,1022,565,1168.0,365.0,90,1181.0,52.0,-,958.0,2355.0,1130.0,14600.0,929.0,2355.0,1130.0,14720.0,145,95,589.0,507.0,1655.0,340,278,834.0,-,93,536.0,744.0,373,733,81,137.0,860.0,646.0,240.0,-,347.0,440.0,1238.0,1601.0,607.0,210.0,3920.0,977.0,1087.0,1088.0,623.0,95,50,2.5,2399.0,521.0,1000.0,1055.0,1086.0,1357.0,422,17710.0,275,818,1357.0,422,24100.0,-,-,2820,13.9,30.0,"Choi Ying Estate, Hong Kong","彩盈邨, Hong Kong",22.3285609,114.2152567
10023,Choi Yuen Estate,彩園邨,11696.0,5268.0,6428.0,820.0,917.0,1096.0,2873.0,3682.0,3128.0,49.8,47.5,51.5,5906.0,5626.0,164,11538.0,23,45,18,72,1677.0,2687.0,457,1520.0,2750.0,1688.0,10829.0,162,458,27,-,93.9,52.2,90.7,49.1,3637.0,5065.0,2077.0,851,25,253,288,17,4826.0,4593.0,-,226.0,7,6870.0,442.0,1429.0,3107.0,316,1576.0,1012,370,998.0,1130.0,226,908.0,168.0,14,1000.0,2667.0,1152.0,14000.0,932.0,2667.0,1152.0,14000.0,140,145,719.0,639.0,1483.0,332,336,1021.0,11,183,457.0,991.0,493,653,93,202.0,813.0,584.0,312.0,45,427.0,393.0,1397.0,1879.0,548.0,182.0,4868.0,1231.0,1865.0,744.0,763.0,201,64,2.4,2809.0,784.0,1275.0,1668.0,1428.0,1219.0,553,14850.0,433,1136,1209.0,553,20930.0,-,-,1230,9.2,23.0,"Choi Yuen Estate, Hong Kong","彩園邨, Hong Kong",22.5007886,114.1256842
10024,Chuk Yuen North Estate,竹園北邨,16989.0,7899.0,9090.0,869.0,1077.0,929.0,3872.0,5903.0,5208.0,55.1,54.8,55.3,10787.0,5531.0,671,16420.0,72,351,-,146,2527.0,4062.0,763,2406.0,4119.0,2035.0,16076.0,94,259,87,122,91.9,56.9,88.8,54.0,4875.0,7658.0,3379.0,980,62,320,156,19,7991.0,7468.0,76,431.0,16,8998.0,698.0,1350.0,4866.0,486,1598.0,738,1340,2582.0,802.0,254,1700.0,523.0,52,1533.0,3789.0,2653.0,15500.0,1100.0,3789.0,2653.0,16000.0,417,568,1178.0,1279.0,1888.0,677,436,1527.0,21,205,840.0,1305.0,767,721,321,284.0,1489.0,1256.0,750.0,53,690.0,684.0,2297.0,3112.0,764.0,444.0,6514.0,1347.0,1956.0,1736.0,1032.0,306,137,2.6,3463.0,1601.0,1450.0,1710.0,1317.0,2020.0,1467,21850.0,384,1029,1975.0,1439,29250.0,3930,18.8,2240,10.7,41.0,"Chuk Yuen North Estate, Hong Kong","竹園北邨, Hong Kong",22.3463383,114.1934488
10025,Chuk Yuen South Estate,竹園南邨,14147.0,6447.0,7700.0,837.0,1107.0,1096.0,3448.0,4531.0,3965.0,52.1,47.2,54.7,7528.0,6137.0,482,13765.0,100,78,-,204,2219.0,2997.0,637,1831.0,2965.0,2391.0,12572.0,370,737,55,138,94.2,51.7,91.1,48.2,4193.0,6597.0,2250.0,1027,159,464,171,-,6396.0,5931.0,25,440.0,-,7751.0,601.0,1620.0,3526.0,344,1660.0,756,1052,2065.0,709.0,131,1505.0,116.0,62,1460.0,3464.0,1472.0,14000.0,1359.0,3464.0,1472.0,14000.0,143,250,822.0,802.0,2046.0,573,440,1320.0,-,182,700.0,957.0,715,854,169,181.0,1162.0,977.0,486.0,13,704.0,733.0,1494.0,2166.0,814.0,485.0,5892.0,1205.0,2422.0,1277.0,725.0,211,52,2.4,3224.0,1391.0,1277.0,1592.0,1835.0,1849.0,616,16980.0,577,1436,1841.0,613,21740.0,-,-,1590,11.3,24.0,"Chuk Yuen South Estate, Hong Kong","竹園南邨, Hong Kong",22.3442735,114.1922638
20019,Chun Man Court,俊民苑,4929.0,2263.0,2666.0,849.0,581.0,245.0,1280.0,1495.0,1328.0,49.7,50.5,48.8,3685.0,835.0,409,4601.0,170,158,-,-,482.0,1353.0,139,408.0,1678.0,288.0,4590.0,14,51,142,53,92.1,78.5,91.4,76.5,561.0,1947.0,1840.0,504,69,86,80,-,2500.0,2282.0,44,166.0,8,2429.0,121.0,714.0,1228.0,88,278.0,300,617,678.0,259.0,79,187.0,359.0,21,525.0,625.0,1342.0,20000.0,197.0,625.0,1342.0,23750.0,239,404,598.0,413.0,297.0,55,50,444.0,-,44,136.0,443.0,111,83,96,211.0,318.0,664.0,379.0,15,121.0,170.0,813.0,917.0,200.0,279.0,1684.0,188.0,522.0,427.0,344.0,183,20,2.9,1189.0,210.0,285.0,315.0,158.0,419.0,792,35470.0,57,55,383.0,777,47770.0,12000,20.8,16000,31.4,49.0,"Chun Man Court, Hong Kong","俊民苑, Hong Kong",22.3147557,114.1783763
10026,Chun Shek Estate,秦石邨,5212.0,2421.0,2791.0,867.0,389.0,425.0,1241.0,1268.0,1889.0,51.1,46.1,53.8,2801.0,2245.0,166,5037.0,-,29,-,146,770.0,1176.0,252,652.0,1239.0,734.0,5018.0,23,68,-,28,96.9,54.8,94.0,50.5,1582.0,2343.0,898.0,387,10,65,65,36,2479.0,2291.0,-,188.0,-,2733.0,234.0,484.0,1555.0,47,413.0,504,262,588.0,300.0,146,593.0,41.0,45,301.0,1489.0,689.0,15000.0,272.0,1489.0,689.0,15000.0,47,204,383.0,442.0,621.0,259,85,438.0,-,106,292.0,354.0,279,390,89,98.0,385.0,389.0,97.0,-,167.0,216.0,684.0,1010.0,282.0,120.0,2095.0,408.0,729.0,623.0,216.0,101,18,2.5,1279.0,401.0,415.0,477.0,611.0,631.0,376,19050.0,146,522,631.0,376,24170.0,-,-,1880,8.7,29.0,"Chun Shek Estate, Hong Kong","秦石邨, Hong Kong",22.3733095,114.1865994
10223,Chun Yeung Estate,駿洋邨,9834.0,4410.0,5424.0,813.0,2083.0,867.0,2979.0,2661.0,1244.0,38.9,38.8,38.9,5452.0,4200.0,182,9625.0,39,25,16,129,780.0,2302.0,359,751.0,2438.0,1121.0,8044.0,433,701,139,45,95.3,66.0,93.5,62.7,1491.0,4654.0,1606.0,1050,71,477,730,36,3647.0,3341.0,15,277.0,14,6187.0,620.0,2385.0,1223.0,578,1381.0,393,410,856.0,763.0,203,883.0,106.0,33,734.0,2035.0,864.0,15000.0,683.0,2035.0,864.0,15000.0,42,101,496.0,614.0,1027.0,332,297,738.0,-,188,582.0,564.0,396,579,60,62.0,594.0,476.0,135.0,11,371.0,254.0,840.0,1582.0,404.0,196.0,3849.0,888.0,1053.0,1051.0,663.0,177,17,2.5,2389.0,565.0,895.0,1134.0,1329.0,1116.0,270,15690.0,449,1174,1105.0,270,19300.0,-,-,2760,14.1,31.0,"Chun Yeung Estate, Hong Kong","駿洋邨, Hong Kong",22.399688,114.1898302
20020,Chung Ming Court,頌明苑,4936.0,2264.0,2672.0,847.0,321.0,371.0,1112.0,1911.0,1221.0,53.4,54.0,52.0,3687.0,1067.0,182,4815.0,40,69,-,12,711.0,1314.0,137,609.0,1361.0,483.0,4728.0,10,35,59,9,95.4,70.3,93.0,66.9,875.0,2198.0,1542.0,280,40,126,54,40,2490.0,2345.0,44,101.0,-,2446.0,253.0,512.0,1213.0,92,376.0,228,649,738.0,251.0,86,363.0,130.0,45,335.0,933.0,1222.0,19500.0,226.0,933.0,1222.0,20000.0,148,235,560.0,536.0,443.0,185,111,272.0,-,149,137.0,379.0,221,201,106,221.0,415.0,426.0,225.0,10,111.0,152.0,924.0,897.0,264.0,142.0,1662.0,192.0,468.0,500.0,325.0,95,82,3.0,1009.0,423.0,230.0,294.0,231.0,440.0,697,33110.0,35,151,440.0,697,40480.0,6990,15.8,**,**,51.0,"Chung Ming Court, Hong Kong","頌明苑, Hong Kong",22.317834,114.262836
20021,Chung Nga Court,頌雅苑,5613.0,2568.0,3045.0,843.0,447.0,409.0,1432.0,2179.0,1146.0,52.3,49.9,53.2,3912.0,1466.0,235,5425.0,33,107,-,48,685.0,1460.0,212,760.0,1586.0,463.0,5349.0,-,85,71,12,95.4,66.4,93.5,64.0,1064.0,2668.0,1434.0,421,26,83,75,-,2968.0,2691.0,70,207.0,-,2645.0,427.0,558.0,1165.0,62,433.0,628,329,718.0,448.0,176,483.0,145.0,41,498.0,1229.0,1241.0,17000.0,353.0,1229.0,1241.0,17500.0,65,159,757.0,371.0,727.0,284,217,388.0,-,215,328.0,378.0,319,252,70,94.0,509.0,551.0,235.0,17,132.0,212.0,982.0,1053.0,327.0,262.0,2013.0,263.0,654.0,521.0,434.0,103,38,2.8,1270.0,405.0,338.0,472.0,312.0,549.0,680,29980.0,141,273,549.0,680,35820.0,9000,20.1,10500,51.8,41.0,"Chung Nga Court, Hong Kong","頌雅苑, Hong Kong",22.4596059,114.1705622
10027,Chung On Estate,頌安邨,8220.0,3891.0,4329.0,899.0,505.0,661.0,2755.0,2663.0,1636.0,48.5,42.3,50.8,3348.0,4579.0,293,8032.0,-,29,14,145,1450.0,2095.0,154,1212.0,2003.0,801.0,7387.0,116,545,-,80,92.6,58.7,90.4,53.9,2258.0,3309.0,2148.0,337,40,186,285,10,4210.0,3994.0,-,204.0,12,4010.0,529.0,814.0,1639.0,209,819.0,370,397,977.0,1213.0,132,1001.0,109.0,11,747.0,2203.0,1248.0,15500.0,711.0,2203.0,1248.0,15500.0,100,206,784.0,687.0,1046.0,452,144,767.0,24,110,675.0,581.0,364,439,130,63.0,851.0,722.0,198.0,77,419.0,456.0,1241.0,1405.0,531.0,158.0,2670.0,408.0,500.0,768.0,649.0,217,128,3.1,1604.0,639.0,427.0,518.0,576.0,849.0,727,25040.0,55,428,824.0,727,33410.0,-,-,2570,10.8,34.0,"Chung On Estate, Hong Kong","頌安邨, Hong Kong",22.4228088,114.2266084
60285,City Garden,城市花園,7224.0,3090.0,4134.0,747.0,774.0,511.0,1785.0,2223.0,1931.0,48.9,50.0,48.4,3957.0,2151.0,1116,6311.0,477,317,29,90,729.0,1819.0,122,962.0,2393.0,425.0,5759.0,245,339,613,90,86.4,81.4,84.4,78.9,463.0,2493.0,3494.0,443,340,134,26,30,3398.0,2946.0,196,225.0,31,3826.0,343.0,1003.0,1883.0,74,523.0,548,954,502.0,230.0,53,206.0,849.0,56,979.0,515.0,1873.0,22000.0,185.0,515.0,1873.0,30000.0,566,749,592.0,233.0,313.0,84,30,831.0,-,85,95.0,549.0,64,63,145,432.0,504.0,594.0,847.0,20,152.0,263.0,1248.0,947.0,335.0,453.0,2145.0,169.0,472.0,586.0,430.0,328,160,3.4,1459.0,421.0,265.0,376.0,175.0,312.0,1282,54590.0,60,103,256.0,1188,74480.0,20000,30.4,28000,35.7,78.0,"City Garden, Hong Kong","城市花園, Hong Kong",22.2907988,114.1935854
60286,City One Shatin,沙田第一城,23778.0,10774.0,13004.0,829.0,2189.0,1438.0,7754.0,7869.0,4528.0,46.3,46.2,46.5,18200.0,4010.0,1568,22302.0,691,430,18,337,2686.0,6208.0,621,3433.0,7112.0,1529.0,21195.0,574,174,1096,100,93.7,86.3,92.5,84.6,1809.0,8254.0,11526.0,1735,220,669,212,52,13439.0,12215.0,392,800.0,32,10339.0,1041.0,2782.0,4667.0,252,1597.0,1753,2404,4043.0,1492.0,610,1311.0,1461.0,365,2280.0,2629.0,8498.0,25000.0,1154.0,2629.0,8498.0,27150.0,1983,2446,3412.0,1965.0,1401.0,362,312,1558.0,-,530,795.0,2009.0,820,286,929,1218.0,2018.0,3156.0,1600.0,78,960.0,984.0,5747.0,4119.0,949.0,680.0,9811.0,2383.0,3422.0,2169.0,1259.0,475,103,2.4,6158.0,906.0,2747.0,1663.0,1199.0,2130.0,4819,38520.0,406,765,1951.0,4679,47460.0,12800,21.5,12000,34.1,30.0,"City One Shatin, Hong Kong","沙田第一城, Hong Kong",22.3871423,114.2023207
62148,City Point,環宇海灣,5593.0,2456.0,3137.0,783.0,1047.0,539.0,1924.0,1581.0,502.0,38.7,37.9,39.3,4132.0,947.0,514,5088.0,249,141,24,91,455.0,1367.0,67,629.0,1781.0,247.0,4491.0,139,184,332,61,91.4,85.6,90.9,84.1,292.0,1808.0,2446.0,514,60,293,275,44,2986.0,2572.0,171,210.0,33,2607.0,247.0,1150.0,584.0,197,429.0,326,466,652.0,665.0,163,189.0,492.0,33,589.0,438.0,1926.0,30000.0,189.0,438.0,1926.0,35000.0,604,562,650.0,325.0,243.0,94,24,484.0,-,111,169.0,485.0,138,93,136,212.0,355.0,807.0,469.0,11,200.0,136.0,1039.0,1115.0,346.0,150.0,1646.0,148.0,334.0,342.0,487.0,231,104,3.4,1183.0,282.0,181.0,110.0,167.0,124.0,1245,71150.0,24,102,124.0,1182,74760.0,16500,23.6,19500,38.3,64.0,"City Point, Hong Kong","環宇海灣, Hong Kong",22.3644051,114.1144433
40005,Clague Garden Estate,祈德尊新邨,3507.0,1594.0,1913.0,833.0,221.0,177.0,831.0,1157.0,1121.0,56.1,56.6,55.3,2229.0,1029.0,249,3343.0,42,100,-,22,436.0,885.0,171,479.0,946.0,369.0,3115.0,44,131,69,50,89.5,62.8,87.8,60.5,688.0,1719.0,879.0,176,6,74,76,-,1674.0,1505.0,25,144.0,-,1833.0,116.0,292.0,1114.0,45,266.0,318,218,333.0,268.0,67,279.0,174.0,17,316.0,686.0,672.0,16500.0,174.0,686.0,672.0,17500.0,76,158,315.0,262.0,340.0,113,92,318.0,-,73,140.0,223.0,192,114,65,66.0,231.0,357.0,203.0,10,101.0,176.0,529.0,599.0,168.0,101.0,1414.0,352.0,452.0,340.0,148.0,93,29,2.5,750.0,265.0,399.0,481.0,211.0,375.0,347,20320.0,56,156,367.0,347,31250.0,13000,22.3,4120,19.7,44.0,"Clague Garden Estate, Hong Kong","祈德尊新邨, Hong Kong",22.3699803,114.1102518
60287,Classical Gardens,新峰花園,4090.0,1788.0,2302.0,777.0,538.0,447.0,1093.0,1451.0,561.0,44.6,47.0,41.9,3070.0,664.0,356,3761.0,160,157,-,12,303.0,1100.0,40,630.0,1262.0,217.0,3700.0,30,18,176,52,89.4,86.1,87.6,84.0,250.0,1341.0,1961.0,366,28,197,178,-,1991.0,1786.0,52,141.0,12,2099.0,300.0,847.0,626.0,68,258.0,188,284,510.0,380.0,34,187.0,353.0,55,416.0,217.0,1346.0,37500.0,99.0,217.0,1346.0,44050.0,365,533,411.0,162.0,116.0,23,-,370.0,11,115,139.0,212.0,52,36,65,211.0,205.0,568.0,377.0,11,101.0,106.0,778.0,715.0,194.0,97.0,1275.0,82.0,384.0,336.0,228.0,198,47,3.2,1034.0,139.0,102.0,133.0,90.0,164.0,888,67050.0,17,29,131.0,850,84140.0,14000,17.5,20000,25.5,71.0,"Classical Gardens, Hong Kong","新峰花園, Hong Kong",22.4410304,114.1611597
60297,Coastal Skyline,藍天海岸,7198.0,3291.0,3907.0,842.0,871.0,341.0,2431.0,2348.0,1207.0,44.6,45.1,44.2,3785.0,1358.0,2055,5082.0,529,163,134,1290,625.0,2062.0,99,892.0,2273.0,376.0,4111.0,557,280,1215,814,74.9,89.3,72.8,88.7,324.0,2051.0,3952.0,373,109,269,120,89,3806.0,3489.0,169,148.0,-,3392.0,426.0,1007.0,1248.0,120,591.0,216,871,859.0,421.0,533,260.0,561.0,85,555.0,602.0,2649.0,27000.0,148.0,602.0,2649.0,30000.0,687,707,873.0,452.0,505.0,52,85,445.0,-,72,55.0,603.0,729,94,202,548.0,603.0,443.0,445.0,12,256.0,493.0,1545.0,932.0,367.0,213.0,2967.0,833.0,1024.0,508.0,339.0,250,13,2.4,1746.0,266.0,955.0,320.0,263.0,545.0,1839,50040.0,78,111,506.0,1747,55000.0,13770,28.7,15500,27.4,59.0,"Coastal Skyline, Hong Kong","藍天海岸, Hong Kong",22.2919209,113.9457295
60316,Cosmopolitan Estate,大同新邨,5035.0,2434.0,2601.0,936.0,458.0,220.0,1760.0,1347.0,1250.0,46.0,46.4,45.7,2766.0,1823.0,446,4656.0,32,162,-,185,642.0,1360.0,175,562.0,1433.0,405.0,4413.0,108,100,108,134,89.7,66.5,88.6,63.6,871.0,2313.0,1393.0,330,51,116,31,8,2544.0,2305.0,61,178.0,-,2491.0,247.0,512.0,1170.0,135,427.0,641,546,365.0,235.0,33,466.0,212.0,46,503.0,957.0,1084.0,17000.0,314.0,957.0,1084.0,18000.0,155,249,585.0,434.0,458.0,199,48,416.0,-,102,384.0,365.0,140,154,68,207.0,420.0,390.0,286.0,28,199.0,191.0,784.0,931.0,290.0,149.0,2139.0,583.0,663.0,542.0,260.0,91,-,2.4,1125.0,309.0,705.0,526.0,281.0,771.0,561,27540.0,123,266,702.0,530,31250.0,9000,24.9,9800,32.8,30.0,"Cosmopolitan Estate, Hong Kong","大同新邨, Hong Kong",22.3217667,114.1618646
62185,Cullinan West,匯璽,5276.0,2223.0,3053.0,728.0,563.0,631.0,2987.0,903.0,192.0,34.3,33.6,34.6,2933.0,1594.0,749,4666.0,353,107,35,115,736.0,1102.0,24,1262.0,1393.0,196.0,3320.0,839,54,705,90,87.4,96.4,86.7,95.7,117.0,883.0,3713.0,107,143,237,85,23,3885.0,3656.0,132,81.0,16,1391.0,156.0,590.0,231.0,49,365.0,112,1550,839.0,390.0,107,233.0,553.0,101,507.0,445.0,2917.0,45000.0,98.0,445.0,2917.0,45000.0,686,1620,546.0,314.0,231.0,38,-,450.0,-,62,92.0,378.0,137,90,176,1308.0,574.0,515.0,520.0,33,136.0,282.0,1661.0,1007.0,489.0,310.0,2547.0,1149.0,812.0,182.0,185.0,140,79,2.1,1011.0,111.0,1425.0,125.0,164.0,350.0,1908,64670.0,16,131,319.0,1878,70040.0,18000,32.9,18500,29.8,34.0,"Cullinan West, Hong Kong","匯璽, Hong Kong",22.3269326,114.1538161
60330,Dawning Views,牽晴間,6500.0,2871.0,3629.0,791.0,970.0,443.0,2050.0,2328.0,709.0,42.3,45.1,41.3,4713.0,1376.0,411,6175.0,188,119,-,18,575.0,1836.0,32,733.0,2095.0,259.0,5764.0,234,-,164,62,95.3,81.7,94.0,79.5,357.0,2437.0,2736.0,666,68,131,279,-,3411.0,3099.0,55,257.0,-,3089.0,454.0,1131.0,895.0,63,546.0,300,385,879.0,944.0,192,293.0,378.0,40,700.0,675.0,2036.0,21250.0,387.0,675.0,2036.0,23500.0,402,445,875.0,659.0,318.0,116,55,541.0,-,207,128.0,507.0,223,162,227,287.0,357.0,883.0,339.0,91,263.0,260.0,1490.0,955.0,319.0,124.0,2493.0,483.0,800.0,661.0,362.0,149,38,2.6,1817.0,163.0,513.0,405.0,247.0,667.0,1174,35100.0,49,158,644.0,1162,44170.0,11370,21.4,11500,29.9,40.0,"Dawning Views, Hong Kong","牽晴間, Hong Kong",22.4868056,114.1441847
60337,Discovery Bay,愉景灣,18585.0,7471.0,11114.0,672.0,3180.0,1256.0,5906.0,6269.0,1974.0,42.7,43.8,41.9,7191.0,2492.0,8902,8265.0,2141,396,4741,3042,1270.0,4463.0,274,2574.0,5541.0,1283.0,5942.0,1362,188,8755,1379,54.5,96.9,51.9,95.4,345.0,4944.0,10116.0,1801,389,393,741,-,10188.0,8716.0,634,795.0,43,8397.0,888.0,3781.0,1785.0,284,1659.0,956,3137,1190.0,590.0,62,1195.0,2822.0,236,2817.0,943.0,6385.0,35000.0,492.0,939.0,6385.0,50000.0,2201,2529,1833.0,522.0,523.0,65,62,2453.0,-,126,195.0,1086.0,1029,123,495,1688.0,976.0,1960.0,2510.0,-,626.0,1589.0,3855.0,2410.0,943.0,765.0,6902.0,1681.0,2102.0,1026.0,1167.0,711,215,2.7,4638.0,308.0,1956.0,823.0,442.0,954.0,4683,75000.0,183,264,798.0,4497,88050.0,16000,17.5,23500,30.8,70.0,"Discovery Bay, Hong Kong","愉景灣, Hong Kong",22.2993764,114.01457
60338,Discovery Park,愉景新城,8978.0,3807.0,5171.0,736.0,944.0,687.0,2350.0,3595.0,1402.0,47.9,49.2,47.0,6992.0,1400.0,586,8378.0,243,226,-,131,803.0,2501.0,118,1206.0,2994.0,412.0,8047.0,215,80,320,77,93.1,82.7,91.2,81.2,698.0,2976.0,4360.0,538,103,306,253,93,4615.0,4198.0,157,260.0,-,4363.0,522.0,1315.0,1772.0,207,547.0,513,1231,1178.0,718.0,61,312.0,577.0,25,847.0,777.0,2991.0,28500.0,324.0,777.0,2991.0,31000.0,849,1136,944.0,510.0,447.0,60,79,590.0,-,115,159.0,808.0,273,113,277,705.0,622.0,926.0,587.0,30,134.0,345.0,1957.0,1430.0,407.0,342.0,3212.0,381.0,1163.0,687.0,744.0,188,49,2.8,2315.0,472.0,425.0,386.0,354.0,489.0,1983,50140.0,120,189,402.0,1944,60000.0,14500,17.3,16800,29.1,54.0,"Discovery Park, Hong Kong","愉景新城, Hong Kong",22.3761112,114.1118819
62150,Double Cove,迎海,8958.0,3988.0,4970.0,802.0,1641.0,645.0,3509.0,2532.0,631.0,38.4,38.2,38.4,6120.0,1770.0,1068,7860.0,478,273,97,250,673.0,2391.0,46,887.0,2788.0,532.0,6828.0,420,116,637,229,88.0,88.3,87.0,85.5,396.0,2187.0,4734.0,370,97,517,589,56,5030.0,4323.0,371,304.0,32,3928.0,541.0,1662.0,792.0,190,743.0,100,794,1425.0,1019.0,200,434.0,848.0,210,914.0,727.0,3357.0,31250.0,163.0,727.0,3357.0,38750.0,1142,986,1306.0,462.0,175.0,57,76,826.0,-,169,154.0,870.0,267,90,259,553.0,711.0,1145.0,779.0,33,164.0,331.0,2091.0,1626.0,506.0,312.0,3033.0,438.0,801.0,709.0,803.0,213,69,2.9,2233.0,274.0,526.0,325.0,108.0,421.0,2179,70000.0,35,88,396.0,2100,75200.0,18500,24.9,18000,34,47.0,"Double Cove, Hong Kong","迎海, Hong Kong",22.430635,114.2420721
